collection_id,title,path,depth,parent_id,parent_path
BLDWH4WY,Air Quality,Air Quality,0,,
E8UM3JHZ,anurag questions,anurag questions,0,,
2AEJZ6D6,Blog,Blog,0,,
832WZ4PW,bruce,bruce,0,,
QHJ7NXZ7,ENVS 305,ENVS 305,0,,
S9JJCVFY,HHSC 760 Paper,HHSC 760 Paper,0,,
J8K8KPSG,Hossein,Hossein,0,,
8EM3H2QB,Maia,Maia,0,,
WGBBE3UT,Masters,Masters,0,,
TBVBAGT7,NRES 799 Presentatino,NRES 799 Presentatino,0,,
BPPS6UPU,NRES 799 Proposal,NRES 799 Proposal,0,,
4PNWT4PD,NRES 800,NRES 800,0,,
G87DTC89,NRES 803 prez,NRES 803 prez,0,,
6CPAQIFB,Presentation HHSC 471,Presentation HHSC 471,0,,
XMSD7JE5,PROPOSAL PAPERS NRES 700,PROPOSAL PAPERS NRES 700,0,,
JHX9K6QV,Report,Report,0,,
GZHQES2F,Test,Test,0,,
FSP7E5JL,Thesis,Thesis,0,,
8NUYZP8I,Thesis Defense,Thesis Defense,0,,
2QSVVDZU,Untitled,Untitled,0,,
Z259JN9N,To search again when available,To search again when available,0,,
GUIXE3HA,1. Data Sources,1. Data Sources,0,,
IA8HTFJ3,Barry's Collection,1. Data Sources/Barry's Collection,1,GUIXE3HA,1. Data Sources
HYH5G3JS,Cheslatta,1. Data Sources/Cheslatta,1,GUIXE3HA,1. Data Sources
M9NIIT3V,EDI,1. Data Sources/EDI,1,GUIXE3HA,1. Data Sources
WTI7SWR5,Large Lakes Monitoring,1. Data Sources/Large Lakes Monitoring,1,GUIXE3HA,1. Data Sources
37GQ72GL,NWR,1. Data Sources/NWR,1,GUIXE3HA,1. Data Sources
MUIIRB8D,Saturation Search,1. Data Sources/Saturation Search,1,GUIXE3HA,1. Data Sources
LGITT7B2,2. Team Work Folder,2. Team Work Folder,0,,
AAWCKNQW,Christiana,2. Team Work Folder/Christiana,1,LGITT7B2,2. Team Work Folder
FBRY8XG7,Isla,2. Team Work Folder/Isla,1,LGITT7B2,2. Team Work Folder
98BUXXY6,Jonathan,2. Team Work Folder/Jonathan,1,LGITT7B2,2. Team Work Folder
67PA266Q,"Sample 1 (Jan 10th, 2022)","2. Team Work Folder/Jonathan/Sample 1 (Jan 10th, 2022)",2,98BUXXY6,2. Team Work Folder/Jonathan
CFIU9NRB,Lisa,2. Team Work Folder/Lisa,1,LGITT7B2,2. Team Work Folder
43ZSDQHP,Margot,2. Team Work Folder/Margot,1,LGITT7B2,2. Team Work Folder
KBBEZFDR,MP-JD Saturation Search (Journals only),2. Team Work Folder/MP-JD Saturation Search (Journals only),1,LGITT7B2,2. Team Work Folder
G8NCX83T,Scott,2. Team Work Folder/Scott,1,LGITT7B2,2. Team Work Folder
B8DSX6WE,3. Resources for Import,3. Resources for Import,0,,
A8B23XTR,Restoration resources for Import (Makayla),3. Resources for Import/Climate Hope/Restoration resources for Import (Makayla),2,,3. Resources for Import/Climate Hope
3SLTRESR,Resources for Import (Christiana),3. Resources for Import/Resources for Import (Christiana),1,B8DSX6WE,3. Resources for Import
ARPNXTKT,Resources for Import (Jonathan),3. Resources for Import/Resources for Import (Jonathan),1,B8DSX6WE,3. Resources for Import
3ZFG5E4P,Resources for Import (Lisa),3. Resources for Import/Resources for Import (Lisa),1,B8DSX6WE,3. Resources for Import
EVPHSX2E,4. Uploaded Resources (in the Nechako Portal),4. Uploaded Resources (in the Nechako Portal),0,,
TVHSFM8C,Subsurface papers,4. Uploaded Resources (in the Nechako Portal)/Subsurface papers,1,EVPHSX2E,4. Uploaded Resources (in the Nechako Portal)
Y6UZZFFQ,Books,Books,0,,
LWJP737R,IWRG paper,IWRG paper,0,,
IK5IZH68,Movies,Movies,0,,
J5WI2CAC,Nechako Archives,Nechako Archives,0,,
9GLX7Z9Z,Nechako Lit Review Master List,Nechako Lit Review Master List,0,,
JREKS3TH,Portal Resources,Portal Resources,0,,
XYT2GG2G,Reports,Reports,0,,
Z3BJY65Q,Websites,Websites,0,,
EG5BYG2X,Books and Book chapters,Books and Book chapters,0,,
MRW66E3Y,Journal Articles,Journal Articles,0,,
4EFHUEJI,Other non-journal sources,Other non-journal sources,0,,
5JRIR9ZQ,Subsearch AH,Subsearch AH,0,,
